TeamID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3
PlayerID,1,1,1,1,1,10,10,10,10,10,11,11,11,11,11,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,1,1,1,1,1,10,10,10,10,10,11,11,11,11,11,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,0,0,0,0,0
Attributes,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf,bb_left,bb_top,bb_width,bb_height,conf
frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3543.0,607.0,30.0,52.5,1.0,3536.42,555.93,13.569999999999707,42.3900000000001,1.0,3560.51,506.69,10.599999999999907,29.19999999999999,1.0,3830.0,524.0,11.0,35.0,1.0,2671.0,512.0,20.0,37.0,1.0,4270.0,538.0,16.0,32.0,1.0,3720.0,504.0,12.0,27.0,1.0,3746.0,666.0,24.0,70.0,1.0,3818.0,583.0,12.0,48.0,1.0,3457.05,803.91,72.0,88.0,1.0,3060.33,592.52,35.88999999999987,62.07000000000005,1.0,3540.51,488.34,12.109999999999673,24.140000000000043,1.0,3124.93,506.35,14.930000000000293,37.53999999999997,1.0,3184.08,495.08,16.800000000000182,32.19999999999999,1.0,3525.94,502.87,15.849999999999907,34.85000000000002,1.0,3529.66,556.55,23.289999999999964,39.42000000000007,1.0,3526.23,523.26,17.199999999999818,32.60000000000002,1.0,3288.42,528.72,14.699999999999818,38.29999999999996,1.0,3312.47,512.51,16.5,37.10000000000002,1.0,3336.58,497.29,15.920000000000073,31.59999999999997,1.0,2832.56,588.43,30.340000000000146,58.82000000000005,1.0,2919.31,538.44,23.590000000000146,47.17999999999995,1.0,3542.77,549.47,6.400000000000091,7.0,1.0
1,3542.0,609.0,32.0,51.0,1.0,3536.13,555.96,13.659999999999854,42.26999999999998,1.0,3560.44,506.83,10.599999999999907,29.19999999999999,1.0,3830.0,524.0,11.0,35.0,1.0,2671.0,512.0,20.0,37.0,1.0,4270.0,538.0,16.0,32.0,1.0,3720.0,504.0,12.0,27.0,1.0,3746.0,666.0,24.0,70.0,1.0,3818.0,583.0,12.0,48.0,1.0,3455.43,802.76,72.0,88.0,1.0,3060.26,592.9,35.88999999999987,62.07000000000005,1.0,3540.12,488.47,12.220000000000256,24.08999999999992,1.0,3125.01,506.38,14.929999999999836,37.53999999999997,1.0,3184.2,495.08,16.800000000000182,32.19999999999999,1.0,3526.4,503.16,16.110000000000127,34.79000000000002,1.0,3531.11,556.2,23.289999999999964,39.41999999999996,1.0,3525.67,523.26,17.199999999999818,32.60000000000002,1.0,3287.54,529.14,14.699999999999818,38.30000000000007,1.0,3312.52,512.62,16.5,37.10000000000002,1.0,3336.72,497.33,15.920000000000073,31.59999999999997,1.0,2832.52,588.69,30.340000000000146,58.819999999999936,1.0,2919.44,538.55,23.590000000000146,47.180000000000064,1.0,3548.55,549.43,6.399999999999636,7.0,1.0
2,3542.0,611.0,32.0,50.0,1.0,3535.85,555.99,13.730000000000018,42.15999999999997,1.0,3560.36,506.97,10.599999999999907,29.19999999999993,1.0,3827.0,523.0,11.0,36.0,1.0,2670.5,512.0,20.0,37.0,1.0,4270.0,538.0,16.0,32.0,1.0,3720.0,504.0,12.0,27.0,1.0,3745.0,666.0,20.0,70.0,1.0,3818.0,583.0,12.0,50.0,1.0,3450.35,801.8,72.0,88.0,1.0,3060.19,593.29,35.88999999999987,62.07000000000005,1.0,3539.73,488.61,12.329999999999927,24.029999999999973,1.0,3125.09,506.41,14.929999999999836,37.54000000000002,1.0,3184.33,495.08,16.800000000000182,32.19999999999999,1.0,3526.86,503.46,16.36999999999989,34.71999999999997,1.0,3532.57,555.85,23.289999999999964,39.40999999999997,1.0,3525.11,523.26,17.199999999999818,32.60000000000002,1.0,3286.65,529.56,14.699999999999818,38.30000000000007,1.0,3312.57,512.73,16.5,37.10000000000002,1.0,3336.86,497.36,15.929999999999836,31.600000000000023,1.0,2832.47,588.95,30.340000000000146,58.819999999999936,1.0,2919.57,538.66,23.58999999999969,47.180000000000064,1.0,3554.32,549.4,6.399999999999636,7.0,1.0
3,3542.0,613.0,32.0,49.0,1.0,3535.57,556.02,13.799999999999727,42.03999999999997,1.0,3560.28,507.1,10.599999999999907,29.19999999999993,1.0,3827.0,523.0,11.0,37.0,1.0,2670.0,512.0,20.0,37.0,1.0,4270.0,538.0,16.0,32.0,1.0,3717.0,502.0,12.0,30.0,1.0,3743.0,666.0,20.0,71.0,1.0,3818.0,583.0,12.0,50.0,1.0,3445.28,800.84,72.0,88.0,1.0,3060.12,593.68,35.88000000000011,62.07000000000005,1.0,3539.34,488.75,12.440000000000056,23.96000000000004,1.0,3125.17,506.44,14.929999999999836,37.54000000000002,1.0,3184.45,495.08,16.800000000000182,32.19999999999999,1.0,3527.33,503.75,16.61999999999989,34.64999999999998,1.0,3534.02,555.49,23.289999999999964,39.41999999999996,1.0,3524.55,523.26,17.199999999999818,32.60000000000002,1.0,3285.77,529.98,14.699999999999818,38.29999999999996,1.0,3312.62,512.85,16.5,37.10000000000002,1.0,3337.01,497.39,15.919999999999618,31.610000000000014,1.0,2832.42,589.21,30.340000000000146,58.819999999999936,1.0,2919.7,538.77,23.590000000000146,47.180000000000064,1.0,3560.1,549.36,6.400000000000091,7.0,1.0
4,3539.0,615.0,36.0,46.0,1.0,3535.28,556.04,13.879999999999654,41.940000000000055,1.0,3560.21,507.24,10.599999999999907,29.200000000000045,1.0,3827.0,523.0,11.0,36.0,1.0,2670.0,512.0,20.0,37.0,1.0,4270.0,537.0,16.0,32.0,1.0,3717.0,501.0,12.0,31.0,1.0,3742.0,664.0,20.0,73.0,1.0,3816.0,582.0,12.0,51.0,1.0,3440.21,799.88,72.0,88.0,1.0,3060.05,594.06,35.879999999999654,62.07000000000005,1.0,3538.95,488.88,12.550000000000182,23.909999999999968,1.0,3125.25,506.47,14.929999999999836,37.53999999999997,1.0,3184.57,495.08,16.799999999999727,32.19999999999999,1.0,3527.79,504.04,16.88000000000011,34.589999999999975,1.0,3535.48,555.14,23.289999999999964,39.40999999999997,1.0,3524.0,523.26,17.190000000000055,32.60000000000002,1.0,3284.89,530.4,14.700000000000273,38.30000000000007,1.0,3312.67,512.96,16.5,37.09999999999991,1.0,3337.15,497.43,15.920000000000073,31.59999999999997,1.0,2832.38,589.47,30.33999999999969,58.819999999999936,1.0,2919.84,538.88,23.58999999999969,47.17999999999995,1.0,3565.87,549.33,6.400000000000091,7.0,1.0
5,3539.0,616.0,36.0,45.0,1.0,3535.0,556.07,13.960000000000036,41.819999999999936,1.0,3560.13,507.38,10.599999999999907,29.200000000000045,1.0,3827.0,523.0,11.0,36.0,1.0,2670.0,512.0,20.0,37.0,1.0,4270.0,537.0,16.0,32.0,1.0,3720.0,504.0,12.0,27.0,1.0,3739.0,664.0,20.0,74.0,1.0,3813.0,583.0,16.0,49.0,1.0,3435.14,798.92,72.0,88.0,1.0,3059.98,594.45,35.88000000000011,62.069999999999936,1.0,3538.56,489.02,12.670000000000073,23.850000000000023,1.0,3125.33,506.5,14.930000000000293,37.52999999999997,1.0,3184.69,495.08,16.799999999999727,32.19999999999999,1.0,3528.25,504.34,17.139999999999873,34.51000000000005,1.0,3536.93,554.78,23.289999999999964,39.42000000000007,1.0,3523.44,523.26,17.199999999999818,32.60000000000002,1.0,3284.01,530.82,14.699999999999818,38.29999999999996,1.0,3312.72,513.07,16.5,37.09999999999991,1.0,3337.29,497.46,15.929999999999836,31.59999999999997,1.0,2832.33,589.73,30.340000000000146,58.819999999999936,1.0,2919.97,538.98,23.590000000000146,47.17999999999995,1.0,3571.65,549.3,6.400000000000091,7.0,1.0
